TIME,IP,PORT,TYPE,ERROR
09:11:25,192.168.10.20,1267,tcp,Exception error for port 1267
09:11:25,192.168.10.20,1268,tcp,Exception error for port 1268
09:11:25,192.168.10.20,1269,tcp,Exception error for port 1269
09:11:25,192.168.10.20,1270,tcp,Exception error for port 1270
09:11:25,192.168.10.20,1271,tcp,Exception error for port 1271
09:11:25,192.168.10.20,1272,tcp,Exception error for port 1272
09:11:25,192.168.10.20,1273,tcp,Exception error for port 1273
09:11:25,192.168.10.20,1274,tcp,Exception error for port 1274
09:11:25,192.168.10.20,1275,tcp,Exception error for port 1275
09:11:25,192.168.10.20,1276,tcp,Exception error for port 1276
09:11:25,192.168.10.20,1277,tcp,Exception error for port 1277
09:11:25,192.168.10.20,1278,tcp,Exception error for port 1278
09:11:25,192.168.10.20,1279,tcp,Exception error for port 1279
09:11:25,192.168.10.20,1280,tcp,Exception error for port 1280
09:11:25,192.168.10.20,1281,tcp,Exception error for port 1281
09:11:25,192.168.10.20,1282,tcp,Exception error for port 1282
09:11:25,192.168.10.20,1283,tcp,Exception error for port 1283
09:11:25,192.168.10.20,1284,tcp,Exception error for port 1284
09:11:25,192.168.10.20,1285,tcp,Exception error for port 1285
09:11:25,192.168.10.20,1286,tcp,Exception error for port 1286
09:11:25,192.168.10.20,1287,tcp,Exception error for port 1287
09:11:25,192.168.10.20,1288,tcp,Exception error for port 1288
09:11:25,192.168.10.20,1289,tcp,Exception error for port 1289
09:11:25,192.168.10.20,1290,tcp,Exception error for port 1290
09:11:25,192.168.10.20,1291,tcp,Exception error for port 1291
09:11:25,192.168.10.20,1292,tcp,Exception error for port 1292
09:11:25,192.168.10.20,1293,tcp,Exception error for port 1293
09:11:25,192.168.10.20,1294,tcp,Exception error for port 1294
09:11:25,192.168.10.20,1295,tcp,Exception error for port 1295
09:11:25,192.168.10.20,1296,tcp,Exception error for port 1296
09:11:25,192.168.10.20,1297,tcp,Exception error for port 1297
09:11:25,192.168.10.20,1298,tcp,Exception error for port 1298
09:11:25,192.168.10.20,1299,tcp,Exception error for port 1299
09:11:25,192.168.10.20,1300,tcp,Exception error for port 1300
09:11:25,192.168.10.20,1301,tcp,Exception error for port 1301
09:11:25,192.168.10.20,1302,tcp,Exception error for port 1302
09:11:25,192.168.10.20,1303,tcp,Exception error for port 1303
09:11:25,192.168.10.20,1304,tcp,Exception error for port 1304
09:11:25,192.168.10.20,1305,tcp,Exception error for port 1305
09:11:25,192.168.10.20,1306,tcp,Exception error for port 1306
09:11:25,192.168.10.20,1307,tcp,Exception error for port 1307
09:11:25,192.168.10.20,1308,tcp,Exception error for port 1308
09:11:25,192.168.10.20,1309,tcp,Exception error for port 1309
09:11:25,192.168.10.20,1310,tcp,Exception error for port 1310
09:11:25,192.168.10.20,1311,tcp,Exception error for port 1311
09:11:25,192.168.10.20,1312,tcp,Exception error for port 1312
09:11:25,192.168.10.20,1313,tcp,Exception error for port 1313
09:11:25,192.168.10.20,1314,tcp,Exception error for port 1314
09:11:25,192.168.10.20,1315,tcp,Exception error for port 1315
09:11:25,192.168.10.20,1316,tcp,Exception error for port 1316
09:11:25,192.168.10.20,1317,tcp,Exception error for port 1317
09:11:25,192.168.10.20,1318,tcp,Exception error for port 1318
09:11:25,192.168.10.20,1319,tcp,Exception error for port 1319
09:11:25,192.168.10.20,1320,tcp,Exception error for port 1320
09:11:25,192.168.10.20,1321,tcp,Exception error for port 1321
09:11:25,192.168.10.20,1322,tcp,Exception error for port 1322
09:11:25,192.168.10.20,1323,tcp,Exception error for port 1323
09:11:25,192.168.10.20,1324,tcp,Exception error for port 1324
09:11:25,192.168.10.20,1325,tcp,Exception error for port 1325
09:11:25,192.168.10.20,1326,tcp,Exception error for port 1326
09:11:25,192.168.10.20,1327,tcp,Exception error for port 1327
09:11:25,192.168.10.20,1328,tcp,Exception error for port 1328
09:11:25,192.168.10.20,1329,tcp,Exception error for port 1329
09:11:25,192.168.10.20,1330,tcp,Exception error for port 1330
09:11:25,192.168.10.20,1331,tcp,Exception error for port 1331
09:11:25,192.168.10.20,1332,tcp,Exception error for port 1332
09:11:25,192.168.10.20,1333,tcp,Exception error for port 1333
09:11:25,192.168.10.20,1334,tcp,Exception error for port 1334
09:11:25,192.168.10.20,1335,tcp,Exception error for port 1335
09:11:25,192.168.10.20,1336,tcp,Exception error for port 1336
09:11:25,192.168.10.20,1337,tcp,Exception error for port 1337
09:11:25,192.168.10.20,1338,tcp,Exception error for port 1338
09:11:25,192.168.10.20,1339,tcp,Exception error for port 1339
09:11:25,192.168.10.20,1340,tcp,Exception error for port 1340
09:11:25,192.168.10.20,1341,tcp,Exception error for port 1341
09:11:25,192.168.10.20,1342,tcp,Exception error for port 1342
09:11:25,192.168.10.20,1343,tcp,Exception error for port 1343
09:11:25,192.168.10.20,1344,tcp,Exception error for port 1344
09:11:25,192.168.10.20,1345,tcp,Exception error for port 1345
09:11:25,192.168.10.20,1346,tcp,Exception error for port 1346
09:11:25,192.168.10.20,1347,tcp,Exception error for port 1347
09:11:25,192.168.10.20,1348,tcp,Exception error for port 1348
09:11:25,192.168.10.20,1349,tcp,Exception error for port 1349
09:11:25,192.168.10.20,1350,tcp,Exception error for port 1350
09:11:25,192.168.10.20,1351,tcp,Exception error for port 1351
09:11:25,192.168.10.20,1352,tcp,Exception error for port 1352
09:11:25,192.168.10.20,1353,tcp,Exception error for port 1353
09:11:25,192.168.10.20,1354,tcp,Exception error for port 1354
09:11:25,192.168.10.20,1355,tcp,Exception error for port 1355
09:11:25,192.168.10.20,1356,tcp,Exception error for port 1356
09:11:25,192.168.10.20,1357,tcp,Exception error for port 1357
09:11:25,192.168.10.20,1358,tcp,Exception error for port 1358
09:11:25,192.168.10.20,1359,tcp,Exception error for port 1359
09:11:25,192.168.10.20,1360,tcp,Exception error for port 1360
09:11:25,192.168.10.20,1361,tcp,Exception error for port 1361
09:11:25,192.168.10.20,1362,tcp,Exception error for port 1362
09:11:25,192.168.10.20,1363,tcp,Exception error for port 1363
09:11:25,192.168.10.20,1364,tcp,Exception error for port 1364
09:11:25,192.168.10.20,1365,tcp,Exception error for port 1365
09:11:25,192.168.10.20,1366,tcp,Exception error for port 1366
09:11:25,192.168.10.20,1367,tcp,Exception error for port 1367
09:11:25,192.168.10.20,1368,tcp,Exception error for port 1368
09:11:25,192.168.10.20,1369,tcp,Exception error for port 1369
09:11:25,192.168.10.20,1370,tcp,Exception error for port 1370
09:11:25,192.168.10.20,1371,tcp,Exception error for port 1371
09:11:25,192.168.10.20,1372,tcp,Exception error for port 1372
09:11:25,192.168.10.20,1373,tcp,Exception error for port 1373
09:11:25,192.168.10.20,1374,tcp,Exception error for port 1374
